Plant Code,Plant Name,Date,Month,Year,Month-Year,Solar (MWh),Total (MWh)
57197,Blue Wing Solar Energy Generation,2010-11-01,11,2010,November-2010,5358.919,5358.919
57197,Blue Wing Solar Energy Generation,2010-12-01,12,2010,December-2010,2849.081,2849.081
57197,Blue Wing Solar Energy Generation,2011-01-01,1,2011,January-2011,614.079,614.079
57197,Blue Wing Solar Energy Generation,2011-02-01,2,2011,February-2011,1520.971,1520.971
57197,Blue Wing Solar Energy Generation,2011-03-01,3,2011,March-2011,2148.249,2148.249
57197,Blue Wing Solar Energy Generation,2011-04-01,4,2011,April-2011,2919.705,2919.705
57197,Blue Wing Solar Energy Generation,2011-05-01,5,2011,May-2011,3422.965,3422.965
57197,Blue Wing Solar Energy Generation,2011-06-01,6,2011,June-2011,3988.226,3988.226
57197,Blue Wing Solar Energy Generation,2011-07-01,7,2011,July-2011,3393.495,3393.495
57197,Blue Wing Solar Energy Generation,2011-08-01,8,2011,August-2011,3554.017,3554.017
57197,Blue Wing Solar Energy Generation,2011-09-01,9,2011,September-2011,2643.807,2643.807
57197,Blue Wing Solar Energy Generation,2011-10-01,10,2011,October-2011,2182.513,2182.513
57197,Blue Wing Solar Energy Generation,2011-11-01,11,2011,November-2011,1215.88,1215.88
57197,Blue Wing Solar Energy Generation,2011-12-01,12,2011,December-2011,1035.093,1035.093
57197,Blue Wing Solar Energy Generation,2012-01-01,1,2012,January-2012,1174.557,1174.557
57197,Blue Wing Solar Energy Generation,2012-02-01,2,2012,February-2012,1141.503,1141.503
57197,Blue Wing Solar Energy Generation,2012-03-01,3,2012,March-2012,1635.769,1635.769
57197,Blue Wing Solar Energy Generation,2012-04-01,4,2012,April-2012,2450.195,2450.195
57197,Blue Wing Solar Energy Generation,2012-05-01,5,2012,May-2012,2496.316,2496.316
57197,Blue Wing Solar Energy Generation,2012-06-01,6,2012,June-2012,2681.57,2681.57
57197,Blue Wing Solar Energy Generation,2012-07-01,7,2012,July-2012,2514.38,2514.38
57197,Blue Wing Solar Energy Generation,2012-08-01,8,2012,August-2012,2526.679,2526.679
57197,Blue Wing Solar Energy Generation,2012-09-01,9,2012,September-2012,2135.417,2135.417
57197,Blue Wing Solar Energy Generation,2012-10-01,10,2012,October-2012,1857.536,1857.536
57197,Blue Wing Solar Energy Generation,2012-11-01,11,2012,November-2012,1672.282,1672.282
57197,Blue Wing Solar Energy Generation,2012-12-01,12,2012,December-2012,2906.796,2906.796
57197,Blue Wing Solar Energy Generation,2013-01-01,1,2013,January-2013,1293.173,1293.173
57197,Blue Wing Solar Energy Generation,2013-02-01,2,2013,February-2013,1662.253,1662.253
57197,Blue Wing Solar Energy Generation,2013-03-01,3,2013,March-2013,2475.814,2475.814
57197,Blue Wing Solar Energy Generation,2013-04-01,4,2013,April-2013,2006.073,2006.073
57197,Blue Wing Solar Energy Generation,2013-05-01,5,2013,May-2013,2428.445,2428.445
57197,Blue Wing Solar Energy Generation,2013-06-01,6,2013,June-2013,2346.339,2346.339
57197,Blue Wing Solar Energy Generation,2013-07-01,7,2013,July-2013,2498.314,2498.314
57197,Blue Wing Solar Energy Generation,2013-08-01,8,2013,August-2013,2537.789,2537.789
57197,Blue Wing Solar Energy Generation,2013-09-01,9,2013,September-2013,2095.284,2095.284
57197,Blue Wing Solar Energy Generation,2013-10-01,10,2013,October-2013,1921.598,1921.598
57197,Blue Wing Solar Energy Generation,2013-11-01,11,2013,November-2013,1243.433,1243.433
57197,Blue Wing Solar Energy Generation,2013-12-01,12,2013,December-2013,1179.485,1179.485
57197,Blue Wing Solar Energy Generation,2014-01-01,1,2014,January-2014,637.93,637.93
57197,Blue Wing Solar Energy Generation,2014-02-01,2,2014,February-2014,308.236,308.236
57197,Blue Wing Solar Energy Generation,2014-03-01,3,2014,March-2014,818.248,818.248
57197,Blue Wing Solar Energy Generation,2014-04-01,4,2014,April-2014,926.705,926.705
57197,Blue Wing Solar Energy Generation,2014-05-01,5,2014,May-2014,2376.23,2376.23
57197,Blue Wing Solar Energy Generation,2014-06-01,6,2014,June-2014,2342.462,2342.462
57197,Blue Wing Solar Energy Generation,2014-07-01,7,2014,July-2014,2700.768,2700.768
57197,Blue Wing Solar Energy Generation,2014-08-01,8,2014,August-2014,2839.831,2839.831
57197,Blue Wing Solar Energy Generation,2014-09-01,9,2014,September-2014,3067.557,3067.557
57197,Blue Wing Solar Energy Generation,2014-10-01,10,2014,October-2014,3313.747,3313.747
57197,Blue Wing Solar Energy Generation,2014-11-01,11,2014,November-2014,2327.823,2327.823
57197,Blue Wing Solar Energy Generation,2014-12-01,12,2014,December-2014,1481.463,1481.463
57197,Blue Wing Solar Energy Generation,2015-01-01,1,2015,January-2015,1079.972,1079.972
57197,Blue Wing Solar Energy Generation,2015-02-01,2,2015,February-2015,1088.889,1088.889
57197,Blue Wing Solar Energy Generation,2015-03-01,3,2015,March-2015,1394.243,1394.243
57197,Blue Wing Solar Energy Generation,2015-04-01,4,2015,April-2015,1453.076,1453.076
57197,Blue Wing Solar Energy Generation,2015-05-01,5,2015,May-2015,1439.264,1439.264
57197,Blue Wing Solar Energy Generation,2015-06-01,6,2015,June-2015,2234.54,2234.54
57197,Blue Wing Solar Energy Generation,2015-07-01,7,2015,July-2015,2556.04,2556.04
57197,Blue Wing Solar Energy Generation,2015-08-01,8,2015,August-2015,2717.327,2717.327
57197,Blue Wing Solar Energy Generation,2015-09-01,9,2015,September-2015,2326.675,2326.675
57197,Blue Wing Solar Energy Generation,2015-10-01,10,2015,October-2015,1994.419,1994.419
57197,Blue Wing Solar Energy Generation,2015-11-01,11,2015,November-2015,1220.35,1220.35
57197,Blue Wing Solar Energy Generation,2015-12-01,12,2015,December-2015,2464.205,2464.205
57197,Blue Wing Solar Energy Generation,2016-01-01,1,2016,January-2016,1392.592,1392.592
57197,Blue Wing Solar Energy Generation,2016-02-01,2,2016,February-2016,1708.47,1708.47
57197,Blue Wing Solar Energy Generation,2016-03-01,3,2016,March-2016,1623.586,1623.586
57197,Blue Wing Solar Energy Generation,2016-04-01,4,2016,April-2016,1673.951,1673.951
57197,Blue Wing Solar Energy Generation,2016-05-01,5,2016,May-2016,1553.456,1553.456
57197,Blue Wing Solar Energy Generation,2016-06-01,6,2016,June-2016,2071.288,2071.288
