Plant Code,Plant Name,Date,Month,Year,Month-Year,Wind (MWh),Electricity used for energy storage (MWh),Total (MWh)
62562,"High Lonesome Wind Power, LLC Hybrid",2020-09-01,9,2020,September-2020,79422.0,,79422.0
62562,"High Lonesome Wind Power, LLC Hybrid",2020-10-01,10,2020,October-2020,132299.0,,132299.0
62562,"High Lonesome Wind Power, LLC Hybrid",2020-11-01,11,2020,November-2020,134856.0,,134856.0
62562,"High Lonesome Wind Power, LLC Hybrid",2020-12-01,12,2020,December-2020,114633.0,,114633.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-01-01,1,2021,January-2021,93580.0,,93580.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-02-01,2,2021,February-2021,42490.0,,42490.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-03-01,3,2021,March-2021,196009.0,,196009.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-04-01,4,2021,April-2021,167330.0,,167330.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-05-01,5,2021,May-2021,194066.0,,194066.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-06-01,6,2021,June-2021,135178.0,,135178.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-07-01,7,2021,July-2021,108167.0,,108167.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-08-01,8,2021,August-2021,131760.0,,131760.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-09-01,9,2021,September-2021,109598.0,,109598.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-10-01,10,2021,October-2021,133125.0,,133125.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-11-01,11,2021,November-2021,96453.0,,96453.0
62562,"High Lonesome Wind Power, LLC Hybrid",2021-12-01,12,2021,December-2021,94079.0,,94079.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-01-01,1,2022,January-2022,49282.0,,49282.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-02-01,2,2022,February-2022,104867.0,,104867.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-03-01,3,2022,March-2022,149982.0,,149982.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-04-01,4,2022,April-2022,130736.0,,130736.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-05-01,5,2022,May-2022,136038.0,,136038.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-06-01,6,2022,June-2022,125499.0,,125499.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-07-01,7,2022,July-2022,112398.0,,112398.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-08-01,8,2022,August-2022,86192.0,,86192.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-09-01,9,2022,September-2022,71749.0,,71749.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-10-01,10,2022,October-2022,58381.0,,58381.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-11-01,11,2022,November-2022,116293.0,,116293.0
62562,"High Lonesome Wind Power, LLC Hybrid",2022-12-01,12,2022,December-2022,65064.0,,65064.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-01-01,1,2023,January-2023,76315.0,,76315.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-02-01,2,2023,February-2023,61649.0,,61649.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-03-01,3,2023,March-2023,76260.0,,76260.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-04-01,4,2023,April-2023,70216.0,,70216.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-05-01,5,2023,May-2023,58966.0,,58966.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-06-01,6,2023,June-2023,45634.0,-182.0,45452.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-07-01,7,2023,July-2023,120280.0,-432.0,119848.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-08-01,8,2023,August-2023,102156.0,-652.0,101504.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-09-01,9,2023,September-2023,108992.0,-536.0,108456.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-10-01,10,2023,October-2023,125582.0,-497.0,125085.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-11-01,11,2023,November-2023,96649.0,-291.0,96358.0
62562,"High Lonesome Wind Power, LLC Hybrid",2023-12-01,12,2023,December-2023,115228.0,-304.0,114924.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-01-01,1,2024,January-2024,88193.0,-309.0,87884.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-02-01,2,2024,February-2024,109692.0,-300.0,109392.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-03-01,3,2024,March-2024,102807.0,-332.0,102475.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-04-01,4,2024,April-2024,120583.0,-437.0,120146.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-05-01,5,2024,May-2024,105240.0,-530.0,104710.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-06-01,6,2024,June-2024,124963.0,-443.0,124520.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-07-01,7,2024,July-2024,92151.0,0.0,92151.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-08-01,8,2024,August-2024,83913.0,0.0,83913.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-09-01,9,2024,September-2024,62280.0,0.0,62280.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-10-01,10,2024,October-2024,107631.0,0.0,107631.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-11-01,11,2024,November-2024,92166.0,0.0,92166.0
62562,"High Lonesome Wind Power, LLC Hybrid",2024-12-01,12,2024,December-2024,94092.0,0.0,94092.0
62562,"High Lonesome Wind Power, LLC Hybrid",2025-01-01,1,2025,January-2025,80141.0,0.0,80141.0
62562,"High Lonesome Wind Power, LLC Hybrid",2025-02-01,2,2025,February-2025,84632.0,0.0,84632.0
62562,"High Lonesome Wind Power, LLC Hybrid",2025-03-01,3,2025,March-2025,106361.0,0.0,106361.0
