Plant Code,Plant Name,Date,Month,Year,Month-Year,Solar (MWh),Total (MWh)
60315,Midway Solar Farm III,2018-09-01,9,2018,September-2018,4305.797,4305.797
60315,Midway Solar Farm III,2018-10-01,10,2018,October-2018,3392.403,3392.403
60315,Midway Solar Farm III,2018-11-01,11,2018,November-2018,2333.44,2333.44
60315,Midway Solar Farm III,2018-12-01,12,2018,December-2018,1856.36,1856.36
60315,Midway Solar Farm III,2019-01-01,1,2019,January-2019,1859.191,1859.191
60315,Midway Solar Farm III,2019-02-01,2,2019,February-2019,2169.355,2169.355
60315,Midway Solar Farm III,2019-03-01,3,2019,March-2019,3295.278,3295.278
60315,Midway Solar Farm III,2019-04-01,4,2019,April-2019,3832.634,3832.634
60315,Midway Solar Farm III,2019-05-01,5,2019,May-2019,3990.391,3990.391
60315,Midway Solar Farm III,2019-06-01,6,2019,June-2019,4824.145,4824.145
60315,Midway Solar Farm III,2019-07-01,7,2019,July-2019,4760.827,4760.827
60315,Midway Solar Farm III,2019-08-01,8,2019,August-2019,4662.657,4662.657
60315,Midway Solar Farm III,2019-09-01,9,2019,September-2019,3813.074,3813.074
60315,Midway Solar Farm III,2019-10-01,10,2019,October-2019,3503.584,3503.584
60315,Midway Solar Farm III,2019-11-01,11,2019,November-2019,2240.661,2240.661
60315,Midway Solar Farm III,2019-12-01,12,2019,December-2019,1444.203,1444.203
60315,Midway Solar Farm III,2020-01-01,1,2020,January-2020,2271.633,2271.633
60315,Midway Solar Farm III,2020-02-01,2,2020,February-2020,3079.31,3079.31
60315,Midway Solar Farm III,2020-03-01,3,2020,March-2020,3013.292,3013.292
60315,Midway Solar Farm III,2020-04-01,4,2020,April-2020,3797.596,3797.596
60315,Midway Solar Farm III,2020-05-01,5,2020,May-2020,4970.101,4970.101
60315,Midway Solar Farm III,2020-06-01,6,2020,June-2020,4949.229,4949.229
60315,Midway Solar Farm III,2020-07-01,7,2020,July-2020,5590.237,5590.237
60315,Midway Solar Farm III,2020-08-01,8,2020,August-2020,4631.357,4631.357
60315,Midway Solar Farm III,2020-09-01,9,2020,September-2020,3636.529,3636.529
60315,Midway Solar Farm III,2020-10-01,10,2020,October-2020,3361.342,3361.342
60315,Midway Solar Farm III,2020-11-01,11,2020,November-2020,2657.388,2657.388
60315,Midway Solar Farm III,2020-12-01,12,2020,December-2020,2103.986,2103.986
60315,Midway Solar Farm III,2021-01-01,1,2021,January-2021,2512.952,2512.952
60315,Midway Solar Farm III,2021-02-01,2,2021,February-2021,3291.898,3291.898
60315,Midway Solar Farm III,2021-03-01,3,2021,March-2021,4250.411,4250.411
60315,Midway Solar Farm III,2021-04-01,4,2021,April-2021,5320.403,5320.403
60315,Midway Solar Farm III,2021-05-01,5,2021,May-2021,5799.141,5799.141
60315,Midway Solar Farm III,2021-06-01,6,2021,June-2021,5633.242,5633.242
60315,Midway Solar Farm III,2021-07-01,7,2021,July-2021,5395.572,5395.572
60315,Midway Solar Farm III,2021-08-01,8,2021,August-2021,5307.095,5307.095
60315,Midway Solar Farm III,2021-09-01,9,2021,September-2021,4576.089,4576.089
60315,Midway Solar Farm III,2021-10-01,10,2021,October-2021,3808.792,3808.792
60315,Midway Solar Farm III,2021-11-01,11,2021,November-2021,3030.624,3030.624
60315,Midway Solar Farm III,2021-12-01,12,2021,December-2021,2070.781,2070.781
60315,Midway Solar Farm III,2022-01-01,1,2022,January-2022,2585.349,2585.349
60315,Midway Solar Farm III,2022-02-01,2,2022,February-2022,3083.793,3083.793
60315,Midway Solar Farm III,2022-03-01,3,2022,March-2022,4088.455,4088.455
60315,Midway Solar Farm III,2022-04-01,4,2022,April-2022,4611.916,4611.916
60315,Midway Solar Farm III,2022-05-01,5,2022,May-2022,5405.303,5405.303
60315,Midway Solar Farm III,2022-06-01,6,2022,June-2022,5628.271,5628.271
60315,Midway Solar Farm III,2022-07-01,7,2022,July-2022,5428.39,5428.39
60315,Midway Solar Farm III,2022-08-01,8,2022,August-2022,5040.217,5040.217
60315,Midway Solar Farm III,2022-09-01,9,2022,September-2022,4253.523,4253.523
60315,Midway Solar Farm III,2022-10-01,10,2022,October-2022,3918.73,3918.73
60315,Midway Solar Farm III,2022-11-01,11,2022,November-2022,2905.077,2905.077
60315,Midway Solar Farm III,2022-12-01,12,2022,December-2022,2030.976,2030.976
60315,Midway Solar Farm III,2023-01-01,1,2023,January-2023,2828.0,2828.0
60315,Midway Solar Farm III,2023-02-01,2,2023,February-2023,3182.0,3182.0
60315,Midway Solar Farm III,2023-03-01,3,2023,March-2023,4087.0,4087.0
60315,Midway Solar Farm III,2023-04-01,4,2023,April-2023,4971.0,4971.0
60315,Midway Solar Farm III,2023-05-01,5,2023,May-2023,6114.0,6114.0
60315,Midway Solar Farm III,2023-06-01,6,2023,June-2023,5851.0,5851.0
60315,Midway Solar Farm III,2023-07-01,7,2023,July-2023,5317.0,5317.0
60315,Midway Solar Farm III,2023-08-01,8,2023,August-2023,4784.0,4784.0
60315,Midway Solar Farm III,2023-09-01,9,2023,September-2023,3592.0,3592.0
60315,Midway Solar Farm III,2023-10-01,10,2023,October-2023,3810.0,3810.0
60315,Midway Solar Farm III,2023-11-01,11,2023,November-2023,1735.0,1735.0
60315,Midway Solar Farm III,2023-12-01,12,2023,December-2023,2618.0,2618.0
