Plant Code,Plant Name,Date,Month,Year,Month-Year,Solar (MWh),Total (MWh)
62249,Misae Solar,2020-01-01,1,2020,January-2020,10342.0,10342.0
62249,Misae Solar,2020-02-01,2,2020,February-2020,36954.0,36954.0
62249,Misae Solar,2020-03-01,3,2020,March-2020,37845.0,37845.0
62249,Misae Solar,2020-04-01,4,2020,April-2020,45450.0,45450.0
62249,Misae Solar,2020-05-01,5,2020,May-2020,61293.0,61293.0
62249,Misae Solar,2020-06-01,6,2020,June-2020,49511.0,49511.0
62249,Misae Solar,2020-07-01,7,2020,July-2020,65521.0,65521.0
62249,Misae Solar,2020-08-01,8,2020,August-2020,60782.0,60782.0
62249,Misae Solar,2020-09-01,9,2020,September-2020,43299.0,43299.0
62249,Misae Solar,2020-10-01,10,2020,October-2020,23780.0,23780.0
62249,Misae Solar,2020-11-01,11,2020,November-2020,17849.0,17849.0
62249,Misae Solar,2020-12-01,12,2020,December-2020,25209.0,25209.0
62249,Misae Solar,2021-01-01,1,2021,January-2021,18703.0,18703.0
62249,Misae Solar,2021-02-01,2,2021,February-2021,24921.0,24921.0
62249,Misae Solar,2021-03-01,3,2021,March-2021,30120.0,30120.0
62249,Misae Solar,2021-04-01,4,2021,April-2021,32534.0,32534.0
62249,Misae Solar,2021-05-01,5,2021,May-2021,39078.0,39078.0
62249,Misae Solar,2021-06-01,6,2021,June-2021,64240.0,64240.0
62249,Misae Solar,2021-07-01,7,2021,July-2021,62864.0,62864.0
62249,Misae Solar,2021-08-01,8,2021,August-2021,59948.0,59948.0
62249,Misae Solar,2021-09-01,9,2021,September-2021,53418.0,53418.0
62249,Misae Solar,2021-10-01,10,2021,October-2021,42743.0,42743.0
62249,Misae Solar,2021-11-01,11,2021,November-2021,24789.0,24789.0
62249,Misae Solar,2021-12-01,12,2021,December-2021,20406.0,20406.0
62249,Misae Solar,2022-01-01,1,2022,January-2022,25522.0,25522.0
62249,Misae Solar,2022-02-01,2,2022,February-2022,33902.0,33902.0
62249,Misae Solar,2022-03-01,3,2022,March-2022,45800.0,45800.0
62249,Misae Solar,2022-04-01,4,2022,April-2022,37851.0,37851.0
62249,Misae Solar,2022-05-01,5,2022,May-2022,50807.0,50807.0
62249,Misae Solar,2022-06-01,6,2022,June-2022,62228.0,62228.0
62249,Misae Solar,2022-07-01,7,2022,July-2022,69329.0,69329.0
62249,Misae Solar,2022-08-01,8,2022,August-2022,56730.0,56730.0
62249,Misae Solar,2022-09-01,9,2022,September-2022,57041.0,57041.0
62249,Misae Solar,2022-10-01,10,2022,October-2022,37783.0,37783.0
62249,Misae Solar,2022-11-01,11,2022,November-2022,25335.0,25335.0
62249,Misae Solar,2022-12-01,12,2022,December-2022,19170.0,19170.0
62249,Misae Solar,2023-01-01,1,2023,January-2023,28357.0,28357.0
62249,Misae Solar,2023-02-01,2,2023,February-2023,22510.0,22510.0
62249,Misae Solar,2023-03-01,3,2023,March-2023,32307.0,32307.0
62249,Misae Solar,2023-04-01,4,2023,April-2023,45142.0,45142.0
62249,Misae Solar,2023-05-01,5,2023,May-2023,59739.0,59739.0
62249,Misae Solar,2023-06-01,6,2023,June-2023,61268.0,61268.0
62249,Misae Solar,2023-07-01,7,2023,July-2023,66432.0,66432.0
62249,Misae Solar,2023-08-01,8,2023,August-2023,65930.0,65930.0
62249,Misae Solar,2023-09-01,9,2023,September-2023,57128.0,57128.0
62249,Misae Solar,2023-10-01,10,2023,October-2023,33852.0,33852.0
62249,Misae Solar,2023-11-01,11,2023,November-2023,30066.0,30066.0
62249,Misae Solar,2023-12-01,12,2023,December-2023,24366.0,24366.0
62249,Misae Solar,2024-01-01,1,2024,January-2024,22766.0,22766.0
62249,Misae Solar,2024-02-01,2,2024,February-2024,25120.0,25120.0
62249,Misae Solar,2024-03-01,3,2024,March-2024,34812.0,34812.0
62249,Misae Solar,2024-04-01,4,2024,April-2024,25763.0,25763.0
62249,Misae Solar,2024-05-01,5,2024,May-2024,46753.0,46753.0
62249,Misae Solar,2024-06-01,6,2024,June-2024,54229.0,54229.0
62249,Misae Solar,2024-07-01,7,2024,July-2024,57050.0,57050.0
62249,Misae Solar,2024-08-01,8,2024,August-2024,60448.0,60448.0
62249,Misae Solar,2024-09-01,9,2024,September-2024,51331.0,51331.0
62249,Misae Solar,2024-10-01,10,2024,October-2024,37437.0,37437.0
62249,Misae Solar,2024-11-01,11,2024,November-2024,19227.0,19227.0
62249,Misae Solar,2024-12-01,12,2024,December-2024,20346.0,20346.0
62249,Misae Solar,2025-01-01,1,2025,January-2025,22350.0,22350.0
62249,Misae Solar,2025-02-01,2,2025,February-2025,27267.0,27267.0
62249,Misae Solar,2025-03-01,3,2025,March-2025,21577.0,21577.0
