Plant Code,Plant Name,Date,Month,Year,Month-Year,Solar (MWh),Total (MWh)
61353,Mount Signal Solar Farm II,2019-10-01,10,2019,October-2019,3568.0,3568.0
61353,Mount Signal Solar Farm II,2019-11-01,11,2019,November-2019,9286.0,9286.0
61353,Mount Signal Solar Farm II,2019-12-01,12,2019,December-2019,19410.0,19410.0
61353,Mount Signal Solar Farm II,2020-01-01,1,2020,January-2020,26327.0,26327.0
61353,Mount Signal Solar Farm II,2020-02-01,2,2020,February-2020,28243.0,28243.0
61353,Mount Signal Solar Farm II,2020-03-01,3,2020,March-2020,33705.0,33705.0
61353,Mount Signal Solar Farm II,2020-04-01,4,2020,April-2020,36417.0,36417.0
61353,Mount Signal Solar Farm II,2020-05-01,5,2020,May-2020,44180.0,44180.0
61353,Mount Signal Solar Farm II,2020-06-01,6,2020,June-2020,45599.0,45599.0
61353,Mount Signal Solar Farm II,2020-07-01,7,2020,July-2020,46556.0,46556.0
61353,Mount Signal Solar Farm II,2020-08-01,8,2020,August-2020,39859.0,39859.0
61353,Mount Signal Solar Farm II,2020-09-01,9,2020,September-2020,34718.0,34718.0
61353,Mount Signal Solar Farm II,2020-10-01,10,2020,October-2020,32524.0,32524.0
61353,Mount Signal Solar Farm II,2020-11-01,11,2020,November-2020,26731.0,26731.0
61353,Mount Signal Solar Farm II,2020-12-01,12,2020,December-2020,22058.0,22058.0
61353,Mount Signal Solar Farm II,2021-01-01,1,2021,January-2021,23238.0,23238.0
61353,Mount Signal Solar Farm II,2021-02-01,2,2021,February-2021,26215.0,26215.0
61353,Mount Signal Solar Farm II,2021-03-01,3,2021,March-2021,28998.0,28998.0
61353,Mount Signal Solar Farm II,2021-04-01,4,2021,April-2021,32540.0,32540.0
61353,Mount Signal Solar Farm II,2021-05-01,5,2021,May-2021,40547.0,40547.0
61353,Mount Signal Solar Farm II,2021-06-01,6,2021,June-2021,35360.0,35360.0
61353,Mount Signal Solar Farm II,2021-07-01,7,2021,July-2021,40753.0,40753.0
61353,Mount Signal Solar Farm II,2021-08-01,8,2021,August-2021,42900.0,42900.0
61353,Mount Signal Solar Farm II,2021-09-01,9,2021,September-2021,37574.0,37574.0
61353,Mount Signal Solar Farm II,2021-10-01,10,2021,October-2021,32557.0,32557.0
61353,Mount Signal Solar Farm II,2021-11-01,11,2021,November-2021,25133.0,25133.0
61353,Mount Signal Solar Farm II,2021-12-01,12,2021,December-2021,18374.0,18374.0
61353,Mount Signal Solar Farm II,2022-01-01,1,2022,January-2022,23267.0,23267.0
61353,Mount Signal Solar Farm II,2022-02-01,2,2022,February-2022,26735.0,26735.0
61353,Mount Signal Solar Farm II,2022-03-01,3,2022,March-2022,26511.0,26511.0
61353,Mount Signal Solar Farm II,2022-04-01,4,2022,April-2022,27801.0,27801.0
