Plant Code,Plant Name,Date,Month,Year,Month-Year,Solar (MWh),Electricity used for energy storage (MWh),Total (MWh)
59150,RE Mustang LLC,2016-03-01,3,2016,March-2016,6810.0,,6810.0
59150,RE Mustang LLC,2016-04-01,4,2016,April-2016,14075.0,,14075.0
59150,RE Mustang LLC,2016-05-01,5,2016,May-2016,23933.0,,23933.0
59150,RE Mustang LLC,2016-06-01,6,2016,June-2016,32288.0,,32288.0
59150,RE Mustang LLC,2016-07-01,7,2016,July-2016,34977.0,,34977.0
59150,RE Mustang LLC,2016-08-01,8,2016,August-2016,29912.0,,29912.0
59150,RE Mustang LLC,2016-09-01,9,2016,September-2016,24614.0,,24614.0
59150,RE Mustang LLC,2016-10-01,10,2016,October-2016,18015.0,,18015.0
59150,RE Mustang LLC,2016-11-01,11,2016,November-2016,15455.0,,15455.0
59150,RE Mustang LLC,2016-12-01,12,2016,December-2016,11578.0,,11578.0
59150,RE Mustang LLC,2017-01-01,1,2017,January-2017,10806.039,,10806.039
59150,RE Mustang LLC,2017-02-01,2,2017,February-2017,12069.954,,12069.954
59150,RE Mustang LLC,2017-03-01,3,2017,March-2017,22507.323,,22507.323
59150,RE Mustang LLC,2017-04-01,4,2017,April-2017,23713.211,,23713.211
59150,RE Mustang LLC,2017-05-01,5,2017,May-2017,29815.337,,29815.337
59150,RE Mustang LLC,2017-06-01,6,2017,June-2017,32311.114,,32311.114
59150,RE Mustang LLC,2017-07-01,7,2017,July-2017,29451.942,,29451.942
59150,RE Mustang LLC,2017-08-01,8,2017,August-2017,27218.172,,27218.172
59150,RE Mustang LLC,2017-09-01,9,2017,September-2017,25415.964,,25415.964
59150,RE Mustang LLC,2017-10-01,10,2017,October-2017,23414.016,,23414.016
59150,RE Mustang LLC,2017-11-01,11,2017,November-2017,14388.001,,14388.001
59150,RE Mustang LLC,2017-12-01,12,2017,December-2017,13721.927,,13721.927
59150,RE Mustang LLC,2018-01-01,1,2018,January-2018,12024.138,,12024.138
59150,RE Mustang LLC,2018-02-01,2,2018,February-2018,16925.745,,16925.745
59150,RE Mustang LLC,2018-03-01,3,2018,March-2018,19353.529,,19353.529
59150,RE Mustang LLC,2018-04-01,4,2018,April-2018,24194.327,,24194.327
59150,RE Mustang LLC,2018-05-01,5,2018,May-2018,29163.369,,29163.369
59150,RE Mustang LLC,2018-06-01,6,2018,June-2018,31421.615,,31421.615
