Plant Code,Plant Name,Date,Month,Year,Month-Year,Wind (MWh),Total (MWh)
56644,Stanton Wind Energy LLC,2008-02-01,2,2008,February-2008,3818.0,3818.0
56644,Stanton Wind Energy LLC,2008-03-01,3,2008,March-2008,23384.0,23384.0
56644,Stanton Wind Energy LLC,2008-04-01,4,2008,April-2008,32725.0,32725.0
56644,Stanton Wind Energy LLC,2008-05-01,5,2008,May-2008,36805.0,36805.0
56644,Stanton Wind Energy LLC,2008-06-01,6,2008,June-2008,38377.0,38377.0
56644,Stanton Wind Energy LLC,2008-07-01,7,2008,July-2008,29545.0,29545.0
56644,Stanton Wind Energy LLC,2008-08-01,8,2008,August-2008,14661.0,14661.0
56644,Stanton Wind Energy LLC,2008-09-01,9,2008,September-2008,14222.0,14222.0
56644,Stanton Wind Energy LLC,2008-10-01,10,2008,October-2008,28264.0,28264.0
56644,Stanton Wind Energy LLC,2008-11-01,11,2008,November-2008,18307.0,18307.0
56644,Stanton Wind Energy LLC,2008-12-01,12,2008,December-2008,37187.0,37187.0
56644,Stanton Wind Energy LLC,2009-01-01,1,2009,January-2009,31538.0,31538.0
56644,Stanton Wind Energy LLC,2009-02-01,2,2009,February-2009,37268.0,37268.0
56644,Stanton Wind Energy LLC,2009-03-01,3,2009,March-2009,37343.0,37343.0
56644,Stanton Wind Energy LLC,2009-04-01,4,2009,April-2009,41464.0,41464.0
56644,Stanton Wind Energy LLC,2009-05-01,5,2009,May-2009,25436.0,25436.0
56644,Stanton Wind Energy LLC,2009-06-01,6,2009,June-2009,23581.0,23581.0
56644,Stanton Wind Energy LLC,2009-07-01,7,2009,July-2009,20528.0,20528.0
56644,Stanton Wind Energy LLC,2009-08-01,8,2009,August-2009,25008.0,25008.0
56644,Stanton Wind Energy LLC,2009-09-01,9,2009,September-2009,18531.0,18531.0
56644,Stanton Wind Energy LLC,2009-10-01,10,2009,October-2009,28294.0,28294.0
56644,Stanton Wind Energy LLC,2009-11-01,11,2009,November-2009,26426.0,26426.0
56644,Stanton Wind Energy LLC,2009-12-01,12,2009,December-2009,27321.0,27321.0
